TestCase,Program,PollyOpt,Parameter,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Average
Reverse	naive_dealloc C code	openmp	100000000	3748596660	3755641258	3701317271	3725075774	3786854842	3761100290	3749311335	3699761822	3798320551	3671928919
Reverse	naive_dealloc C code	openmp	1000000000
Reverse	naive_dealloc C code	openmp	10000000000
Reverse	naive_dealloc C code	vector	1000	4982709	5424226	5105784	4788014	5399339	5306240	4835211	5143368	5051795	5077127
Reverse	naive_dealloc C code	vector	10000	5658941	5462498	5644005	5319485	5650323	5539261	5509608	5221801	5296757	5226876
Reverse	naive_dealloc C code	vector	100000	10551889	10171598	10128374	10158017	9112620	8395561	8798698	10365381	10253092	9084028
Reverse	naive_dealloc C code	vector	1000000	42767576	42176734	45555966	46027509	43786002	43066430	42663087	42524029	42594493	43920770
Reverse	naive_dealloc C code	vector	10000000	366831809	373814900	368306979	395675118	421892568	371365084	372280836	368952364	370314931	377166893
Reverse	naive_dealloc C code	vector	100000000	3696115530	3712469900	3684995768	3682499323	3735395776	3909794923	3811554557	3820547169	3872918373	3779107388
Reverse	naive_dealloc C code	vector	1000000000
Reverse	naive_dealloc C code	vector	10000000000
Reverse	copy_reduced C code	gcc	1000	4397554	4550818	4900400	4860531	4832094	4816557	4873300	4789316	5223484	5065941
Reverse	copy_reduced C code	gcc	10000	5256894	4975232	4979699	5042650	4958360	5006756	5108090	5012826	5042321	4987063
Reverse	copy_reduced C code	gcc	100000	6940244	6772147	7018034	6480715	5638416	5913853	6873952	6907729	6888734	6957336
Reverse	copy_reduced C code	gcc	1000000	20809541	20637159	20710533	21065615	20789884	20583983	23399686	20897193	21836401	21592346
Reverse	copy_reduced C code	gcc	10000000	154138031	150727577	150269042	148725925	172451216	165146098	168265757	153002830	151012312	149404228
Reverse	copy_reduced C code	gcc	100000000	1423525112	1464533601	1415743684	1455891799	1419706237	1459637614	1413138049	1459251940	1452413792	1450313239
Reverse	copy_reduced C code	gcc	1000000000	3328117861	3329484381	3310314346	3319468772	3303699895	3318426702	3293422063	3301784058	3308522280	3321404222
Reverse	copy_reduced C code	gcc	10000000000
Reverse	copy_reduced C code	polly	1000	4490380	4817049	4809603	5559023	4970707	4804344	5091458	5179020	5157222	4926605
Reverse	copy_reduced C code	polly	10000	5003931	6114473	5232556	5481947	4896860	5051314	5194319	5210343	5060629	4996866
Reverse	copy_reduced C code	polly	100000	7008461	6999238	7249062	7146104	7882106	7318504	6949634	7065542	7351711	6860313
Reverse	copy_reduced C code	polly	1000000	20883789	20378710	19219373	19907186	19445753	22144045	22364859	22190386	20860842	20793449
Reverse	copy_reduced C code	polly	10000000	173765283	176665871	178600264	148418101	148976734	148051526	147440544	149214809	152012165	149121325
Reverse	copy_reduced C code	polly	100000000	1426422441	1466008224	1420783463	1470217599	1430289999	1542820986	1420986079	1490383757	1423325427	1457298397
Reverse	copy_reduced C code	polly	1000000000	3308222985	3299903584	3406796517	3308177249	3317820772	3320176892	3353653064	3313773541	3398429191	3294808040
Reverse	copy_reduced C code	polly	10000000000
Reverse	copy_reduced C code	openmp	1000	5507910	5043417	5058124	5044815	5096221	5032700	5347853	5026896	5128974	5851338
Reverse	copy_reduced C code	openmp	10000	5256566	6083644	5435690	5459774	5488843	5292055	5393083	5231059	5277823	5205359
Reverse	copy_reduced C code	openmp	100000	7135932	7096387	7456899	7316089	7598401	7307849	7062857	7105738	7105749	7146469
Reverse	copy_reduced C code	openmp	1000000	21636169	19474338	22200694	20499370	19155284	19376352	19419611	21584734	20288216	20239548
Reverse	copy_reduced C code	openmp	10000000	152003276	149798860	156035395	150764130	149647893	148840912	148382606	153651121	151973882	158039568
Reverse	copy_reduced C code	openmp	100000000	1461081985	1432238296	1471008811	1437591869	1519624667	1423198048	1462803829	1435049719	1458448555	1420776697
Reverse	copy_reduced C code	openmp	1000000000	3375964201	3319755153	3303903324	3321574779	3323761457	3321297744	3303339440	3321233035	3313556569	3421512115
Reverse	copy_reduced C code	openmp	10000000000
Reverse	copy_reduced C code	vector	1000	5341303	5003863	4822220	5184783	5154584	4990092	6310735	5505060	5376952	5076600
Reverse	copy_reduced C code	vector	10000	5372742	5026696	5105250	5421352	5326349	5007711	5262493	5211032	5415902	5248503
Reverse	copy_reduced C code	vector	100000	6888418	7021519	6868377	6529951	5760596	6804929	6944619	6940387	7111856	6791748
Reverse	copy_reduced C code	vector	1000000	20091117	19372295	20377703	19327970	20261986	19670677	19002202	19402743	19522194	19923800
Reverse	copy_reduced C code	vector	10000000	147876579	147483151	146292587	151437080	147209358	146604781	145915728	149849544	159609164	159842412
